Crypto,Price,Time
Bitcoin,95106.29,2025-11-14 19:37:00.108464
Ethereum,3119.08,2025-11-14 19:37:00.108464
BNB,905.68,2025-11-14 19:37:00.108464
Solana,138.89,2025-11-14 19:37:00.108464
XRP,2.27,2025-11-14 19:37:00.108464
Dogecoin,0.1596,2025-11-14 19:37:00.108464
Bitcoin,95065.26,2025-11-14 19:38:08.154404
Ethereum,3119.35,2025-11-14 19:38:08.154404
BNB,905.61,2025-11-14 19:38:08.154404
Solana,138.88,2025-11-14 19:38:08.154404
XRP,2.26,2025-11-14 19:38:08.154404
Dogecoin,0.1596,2025-11-14 19:38:08.154404
Bitcoin,95065.26,2025-11-14 19:39:16.007545
Ethereum,3119.35,2025-11-14 19:39:16.007545
BNB,905.61,2025-11-14 19:39:16.007545
Solana,138.88,2025-11-14 19:39:16.007545
XRP,2.26,2025-11-14 19:39:16.007545
Dogecoin,0.1596,2025-11-14 19:39:16.007545
Bitcoin,95515.02,2025-11-14 19:40:23.728948
Ethereum,3134.03,2025-11-14 19:40:23.728948
BNB,906.41,2025-11-14 19:40:23.728948
Solana,138.88,2025-11-14 19:40:23.728948
XRP,2.26,2025-11-14 19:40:23.728948
Dogecoin,0.1596,2025-11-14 19:40:23.728948
Bitcoin,95592.09,2025-11-14 19:41:31.921020
Ethereum,3140.55,2025-11-14 19:41:31.921020
BNB,909.09,2025-11-14 19:41:31.921020
Solana,138.88,2025-11-14 19:41:31.921020
XRP,2.26,2025-11-14 19:41:31.921020
Dogecoin,0.1596,2025-11-14 19:41:31.921020
Bitcoin,95592.09,2025-11-14 19:42:39.601505
Ethereum,3140.55,2025-11-14 19:42:39.601505
BNB,909.09,2025-11-14 19:42:39.601505
Solana,138.88,2025-11-14 19:42:39.601505
XRP,2.26,2025-11-14 19:42:39.601505
Dogecoin,0.1596,2025-11-14 19:42:39.601505
Bitcoin,95467.03,2025-11-14 19:43:46.655651
Ethereum,3131.5,2025-11-14 19:43:46.655651
BNB,909.12,2025-11-14 19:43:46.655651
Solana,139.42,2025-11-14 19:43:46.655651
XRP,2.27,2025-11-14 19:43:46.655651
Dogecoin,0.1603,2025-11-14 19:43:46.655651
Bitcoin,95467.03,2025-11-14 19:44:54.840407
Ethereum,3131.5,2025-11-14 19:44:54.840407
BNB,909.12,2025-11-14 19:44:54.840407
Solana,139.42,2025-11-14 19:44:54.840407
XRP,2.27,2025-11-14 19:44:54.840407
